instancia;capacidade_carga;capacidade_energia;fo(best);media_d;distancia(best);caminho(best);demanda_rotas(melhor);violacao_demanda(melhor);N_recargas(melhor);energia_gasta_rotas(melhor);N_violacao_energia(melhor)
E-n29-k4-s7.evrp;6000;99.0;16207.675429174815;478.2838787391317;405.19188572937037;[[1, 21, 19, 16, 13, 26, 26, 1], [1, 17, 12, 5, 4, 25, 25, 7, 9, 1], [1, 11, 27, 2, 3, 6, 8, 10, 1], [1, 15, 18, 22, 20, 14, 1]];[4900, 6000, 5800, 5800];[0, 0, 0, 0];[2, 2, 1, 0];[90.45431849767614, 112.78764192837139, 113.00631544673404, 88.94360985658894];[0, 0, 0, 0]
E-n30-k3-s7.evrp;4500;162.0;23016.26333222201;636.0528160646584;570.7143950743251;[[1, 14, 11, 1], [1, 8, 22, 5, 6, 9, 25, 10, 12, 13, 1], [1, 7, 2, 3, 4, 17, 16, 30, 30, 30, 15, 18, 23, 21, 20, 19, 1]];[4350, 3100, 2739];[0, 0, 0];[0, 1, 3];[67.93750410544314, 218.44637879369995, 284.3305121751822];[0, 0, 6.256250974966804]
E-n35-k3-s5.evrp;4500;138.0;23507.071533680704;666.6127682624139;587.6767883420176;[[1, 33, 33, 22, 15, 9, 10, 18, 31, 8, 14, 17, 16, 24, 1], [1, 3, 6, 5, 35, 2, 25, 28, 29, 1], [1, 19, 13, 12, 11, 27, 34, 30, 26, 7, 4, 23, 21, 20, 1]];[3800, 4450, 4500];[0, 0, 0];[3, 1, 1];[166.66477851757216, 201.37645962303438, 219.63555020141098];[0, 0, 0]
E-n37-k4-s4.evrp;8000;238.0;35397.41553846092;936.2033952357724;884.935388461523;[[1, 5, 11, 19, 20, 22, 21, 23, 24, 25, 26, 36, 14, 1], [1, 4, 3, 13, 12, 33, 9, 10, 8, 7, 6, 37, 1], [1, 32, 2, 15, 28, 17, 29, 34, 34, 30, 1], [1, 31, 27, 18, 16, 1]];[7900, 7170, 6800, 7500];[0, 0, 0, 0];[1, 1, 2, 0];[294.9479212041427, 146.72344811139217, 252.02256368928363, 191.24145545670433];[0, 0, 0, 0]
E-n60-k5-s9.evrp;160;88.0;24744.034237501844;678.4477782209572;618.6008559375462;[[1, 2, 32, 29, 17, 59, 51, 10, 50, 11, 58, 40, 34, 46, 16, 38, 18, 1], [1, 47, 13, 48, 5, 26, 15, 7, 28, 1], [1, 12, 39, 31, 35, 22, 30, 21, 60, 4, 23, 33, 1], [1, 3, 36, 37, 56, 56, 56, 9, 27, 8, 44, 25, 24, 49, 1], [1, 6, 57, 57, 45, 43, 20, 41, 42, 14, 53, 53, 19, 1]];[160, 147, 157, 156, 157];[0, 0, 0, 0, 0];[2, 0, 1, 3, 4];[159.03218252780596, 74.56333099478331, 114.04234305887353, 156.72429510388426, 114.23870425219899];[0, 0, 0, 0, 0]
F-n49-k4-s4.evrp;2010;260.0;31118.99361621103;900.7903327353742;777.9748404052758;[[1, 31, 42, 48, 30, 28, 7, 6, 8, 36, 4, 5, 37, 39, 38, 10, 25, 1], [1, 9, 20, 23, 24, 27, 26, 1], [1, 43, 40, 41, 35, 32, 33, 34, 49, 29, 45, 44, 1], [1, 16, 2, 3, 17, 47, 15, 14, 13, 12, 19, 18, 11, 21, 22, 1]];[1752, 1811, 1824, 1833];[0, 0, 0, 0];[1, 0, 1, 1];[196.21618923245148, 145.3965807626329, 285.33990608847046, 151.02216432172096];[0, 0, 0, 0]
E-n89-k7-s13.evrp;220;87.0;35019.05962154845;1134.6646471049685;869.4764905387112;[[1, 13, 41, 10, 32, 83, 39, 8, 48, 22, 82, 29, 1], [1, 5, 53, 88, 58, 16, 38, 21, 71, 61, 72, 37, 70, 62, 82, 63, 3, 1], [1, 74, 2, 44, 42, 43, 79, 79, 65, 23, 75, 84, 84, 84, 46, 28, 14, 55, 20, 9, 85, 1], [1, 36, 54, 15, 60, 12, 67, 66, 83, 83, 26, 56, 19, 51, 1], [1, 18, 4, 25, 50, 77, 57, 24, 64, 17, 34, 7, 69, 76, 1], [1, 30, 6, 49, 31, 81, 52, 45, 33, 40, 73, 11, 59, 27, 1], [1, 35, 47, 68, 1]];[218, 213, 215, 226, 201, 215, 76];[0, 0, 0, 6, 0, 0, 0];[2, 2, 6, 2, 1, 1, 0];[157.02797046122487, 136.16834144389594, 151.6976621900234, 164.74689927388988, 107.35944620796533, 128.8549381770774, 23.621232784634294];[0, 0, 0, 0, 0, 0, 0]
E-n112-k8-s11.evrp;200;100.0;44774.43911732869;1600.4269285216346;1119.3609779332173;[[1, 90, 97, 99, 92, 17, 87, 62, 100, 7, 106, 77, 80, 4, 78, 29, 1], [1, 27, 22, 73, 55, 112, 112, 79, 34, 52, 89, 49, 48, 102, 102, 9, 84, 19, 1], [1, 41, 74, 75, 76, 24, 68, 111, 111, 5, 81, 35, 36, 72, 110, 21, 31, 70, 1], [1, 109, 13, 69, 2, 71, 63, 12, 105, 65, 50, 37, 20, 8, 53, 1], [1, 28, 32, 11, 64, 91, 33, 67, 66, 110, 10, 82, 51, 1], [1, 42, 23, 57, 40, 26, 56, 25, 30, 112, 83, 102, 47, 46, 18, 45, 39, 15, 104, 104, 101, 38, 106, 1], [1, 54, 59, 3, 107, 107, 58, 16, 44, 43, 93, 60, 94, 86, 85, 6, 61, 1], [1, 95, 96, 98, 88, 14, 1]];[195, 199, 196, 176, 195, 194, 195, 108];[0, 0, 0, 0, 0, 0, 0, 0];[1, 4, 3, 2, 1, 5, 2, 0];[128.23742168033152, 166.67951119985128, 166.9988560505858, 149.67444241323247, 125.306626378976, 236.89778177809694, 104.65937572928374, 40.90696270285943];[0, 0, 0, 0, 0, 0, 0, 0]
M-n110-k10-s9.evrp;200;118.0;52747.03621819003;2088.2390607191214;1308.6759054547506;[[1, 69, 107, 107, 107, 41, 45, 46, 52, 32, 33, 34, 35, 102, 30, 28, 22, 1], [1, 87, 84, 85, 86, 89, 109, 109, 93, 95, 99, 108, 2, 5, 4, 76, 1], [1, 11, 10, 7, 100, 97, 96, 109, 77, 72, 71, 74, 56, 106, 106, 49, 51, 53, 1], [1, 105, 14, 16, 18, 24, 23, 50, 47, 43, 42, 68, 1], [1, 91, 88, 63, 65, 106, 60, 59, 61, 36, 38, 37, 31, 29, 27, 1], [1, 64, 75, 67, 70, 44, 48, 103, 25, 26, 21, 1], [1, 92, 90, 83, 82, 80, 110, 54, 57, 55, 58, 1], [1, 39, 40, 19, 20, 17, 15, 13, 104, 104, 12, 9, 8, 1], [1, 6, 3, 101, 98, 94, 79, 78, 110, 81, 73, 62, 66, 1], [1, 1]];[200, 200, 200, 200, 200, 200, 210, 200, 200, 0];[0, 0, 0, 0, 0, 0, 10, 0, 0, 0];[4, 3, 3, 1, 1, 1, 1, 2, 1, 0];[103.32128480787837, 119.27792213137054, 216.4700199986181, 119.2365978843097, 180.09042593443647, 76.1823659603088, 174.24289800066134, 138.49369948165693, 181.36069125551006, 0.0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
M-n126-k7-s5.evrp;200;199.0;66074.30079650925;2117.8383683565867;1651.8575199127315;[[1, 96, 92, 19, 119, 109, 125, 42, 49, 46, 66, 62, 63, 65, 57, 81, 80, 79, 72, 68, 108, 1], [1, 89, 112, 8, 14, 17, 23, 26, 29, 36, 33, 47, 50, 51, 52, 126, 126, 60, 58, 56, 54, 104, 105, 1], [1, 121, 70, 71, 77, 78, 69, 125, 27, 24, 21, 22, 114, 118, 85, 113, 83, 120, 1], [1, 111, 53, 55, 59, 61, 64, 67, 48, 45, 125, 125, 18, 9, 15, 12, 7, 84, 86, 87, 1], [1, 95, 98, 116, 110, 125, 30, 37, 35, 32, 31, 34, 28, 25, 20, 13, 16, 2, 3, 82, 1], [1, 106, 107, 73, 76, 75, 74, 10, 11, 5, 4, 6, 115, 94, 97, 88, 1], [1, 93, 90, 91, 38, 39, 40, 43, 44, 41, 99, 117, 101, 100, 102, 103, 1]];[197, 200, 196, 198, 199, 187, 198];[0, 0, 0, 0, 0, 0, 0];[1, 2, 1, 2, 1, 0, 0];[258.46430577551143, 270.1669444144379, 251.88354377079364, 278.2126087907465, 220.4244767415873, 198.15869147791764, 174.54694894173642];[0, 0, 0, 0, 0, 0, 0]
