instancia;capacidade_carga;capacidade_energia;t_avg;fo(best);media_d;distancia(best);caminho(best);demanda_rotas(melhor);violacao_demanda(melhor);N_recargas(melhor);energia_gasta_rotas(melhor);N_violacao_energia(melhor)
E-n29-k4-s7.evrp;6000;99.0;1.6;15292.518065532602;399.144505571419;382.31295163831504;[[1, 26, 18, 21, 19, 16, 13, 1], [1, 10, 8, 6, 3, 2, 29, 7, 1], [1, 14, 23, 23, 12, 5, 4, 9, 11, 1], [1, 15, 22, 20, 17, 1]];[5900, 5600, 5400, 5600];[0, 0, 0, 0];[1, 1, 2, 0];[87.28812078152187, 115.24271686966544, 102.9211566753751, 76.86095731175261];[0, 0, 0, 0]
E-n30-k3-s7.evrp;4500;162.0;1.0;22937.50224685775;603.5169576749977;573.4375561714438;[[1, 13, 12, 7, 2, 3, 4, 17, 16, 30, 30, 15, 18, 23, 21, 27, 20, 19, 1], [1, 22, 5, 6, 9, 25, 10, 8, 1], [1, 14, 11, 1]];[3264, 2575, 4350];[0, 0, 0];[3, 1, 0];[294.38708245917786, 211.1129696068228, 67.93750410544314];[0, 0, 0]
E-n35-k3-s5.evrp;4500;138.0;4.2;22109.480322199575;594.3452509001921;552.7370080549894;[[1, 33, 23, 3, 6, 5, 4, 21, 1], [1, 32, 22, 15, 9, 10, 18, 31, 8, 14, 17, 13, 12, 11, 24, 1], [1, 19, 16, 27, 34, 34, 29, 28, 30, 26, 25, 2, 7, 20, 1]];[3925, 4425, 4400];[0, 0, 0];[1, 2, 2];[135.05148153714686, 160.12365682965307, 257.56186968818935];[0, 0, 0]
E-n37-k4-s4.evrp;8000;238.0;3.5;35012.41059801874;891.3284551670304;875.3102649504684;[[1, 14, 36, 19, 20, 23, 25, 24, 21, 22, 11, 10, 9, 7, 6, 4, 1], [1, 29, 17, 28, 27, 32, 1], [1, 2, 15, 16, 18, 26, 34, 30, 31, 1], [1, 3, 13, 12, 33, 8, 5, 1]];[7320, 8000, 7700, 6350];[0, 0, 0, 0];[1, 0, 1, 0];[258.61042905976205, 237.42779150155468, 216.0254741376341, 163.24657025151743];[0, 0, 0, 0]
E-n60-k5-s9.evrp;160;88.0;12.0;22596.202585886243;814.8776967769916;559.9050646471561;[[1, 47, 12, 17, 22, 30, 21, 36, 37, 60, 60, 4, 29, 32, 23, 2, 1], [1, 28, 49, 9, 27, 8, 24, 44, 52, 25, 15, 7, 1], [1, 39, 59, 51, 35, 31, 11, 40, 34, 46, 16, 57, 57, 57, 13, 1], [1, 33, 3, 59, 10, 50, 6, 38, 18, 5, 48, 1], [1, 19, 53, 26, 14, 42, 20, 41, 54, 43, 45, 1]];[160, 154, 161, 138, 164];[0, 0, 1, 0, 4];[2, 1, 4, 1, 2];[125.49878697493287, 108.63314540455863, 113.91501807996357, 93.76412817497481, 118.09398601272609];[0, 0, 0, 0, 0]
F-n49-k4-s4.evrp;2010;260.0;12.0;30312.651355661943;909.6755599187684;757.8162838915486;[[1, 9, 20, 23, 24, 27, 26, 21, 22, 1], [1, 17, 25, 1], [1, 31, 42, 32, 33, 34, 49, 29, 45, 44, 1], [1, 10, 38, 39, 37, 43, 40, 41, 35, 48, 48, 30, 28, 7, 6, 8, 36, 4, 5, 15, 14, 13, 12, 19, 11, 18, 47, 3, 2, 16, 1]];[2010, 1321, 1956, 1933];[0, 0, 0, 0];[0, 0, 1, 3];[147.54383580348303, 18.43932729946675, 285.5921633946915, 306.24095739390737];[0, 0, 0, 0]
E-n89-k7-s13.evrp;220;87.0;12.0;30178.326209798928;1396.5596254154493;750.4581552449732;[[1, 4, 45, 25, 50, 77, 77, 24, 57, 42, 43, 65, 23, 29, 75, 31, 1], [1, 46, 30, 38, 21, 71, 61, 72, 87, 87, 37, 70, 22, 62, 79, 44, 2, 7, 1], [1, 13, 59, 73, 40, 10, 41, 18, 1], [1, 80, 33, 51, 19, 78, 56, 26, 32, 11, 86, 66, 39, 8, 27, 1], [1, 35, 47, 53, 28, 88, 14, 55, 58, 16, 6, 48, 49, 5, 1], [1, 68, 85, 85, 85, 9, 20, 15, 89, 60, 67, 12, 54, 36, 1], [1, 76, 69, 3, 63, 74, 34, 64, 17, 52, 1]];[219, 215, 136, 201, 222, 222, 149];[0, 0, 0, 0, 2, 2, 0];[2, 3, 0, 3, 1, 4, 0];[137.64925661728455, 149.303844653535, 61.12110122279326, 139.55718709131142, 98.71979985331495, 99.01552925152151, 65.09143655521268];[0, 0, 0, 0, 0, 0, 0]
E-n112-k8-s11.evrp;200;100.0;12.1;38299.13683673296;1724.4361885169105;957.4784209183241;[[1, 90, 9, 48, 37, 50, 65, 64, 91, 108, 52, 10, 82, 34, 4, 77, 1], [1, 59, 3, 107, 58, 16, 44, 39, 87, 18, 46, 47, 102, 20, 12, 63, 32, 1], [1, 29, 13, 25, 30, 112, 112, 80, 79, 35, 36, 72, 66, 67, 21, 31, 2, 1], [1, 14, 98, 38, 101, 92, 86, 62, 85, 84, 83, 49, 8, 53, 1], [1, 27, 56, 26, 111, 111, 40, 68, 24, 57, 76, 42, 23, 75, 74, 41, 54, 1], [1, 88, 43, 15, 104, 45, 17, 103, 103, 6, 61, 19, 89, 11, 33, 28, 1], [1, 70, 108, 108, 108, 71, 51, 78, 69, 81, 55, 5, 73, 22, 1], [1, 95, 96, 60, 93, 99, 94, 100, 97, 7, 106, 1]];[197, 192, 195, 199, 197, 193, 153, 132];[0, 0, 0, 0, 0, 0, 0, 0];[1, 2, 2, 0, 2, 3, 3, 1];[155.9085300874531, 162.17996120666143, 140.61025308629388, 94.01522753610429, 117.0680586454273, 137.56578754769848, 101.8376471011953, 48.292955707490385];[0, 0, 0, 0, 0, 0, 0, 0]
M-n110-k10-s9.evrp;200;118.0;12.1;45207.31447166563;2254.2950625713675;1110.1828617916408;[[1, 44, 47, 51, 52, 49, 46, 45, 41, 42, 70, 67, 75, 66, 68, 1], [1, 58, 56, 55, 54, 57, 59, 61, 60, 106, 107, 107, 107, 1], [1, 32, 36, 39, 38, 34, 33, 30, 28, 25, 21, 1], [1, 63, 73, 81, 110, 110, 74, 79, 87, 88, 90, 109, 109, 99, 10, 9, 11, 24, 22, 1], [1, 100, 101, 98, 96, 109, 86, 85, 84, 78, 80, 62, 65, 69, 105, 105, 1], [1, 12, 104, 13, 15, 17, 16, 20, 19, 18, 14, 1], [1, 64, 91, 92, 76, 2, 3, 5, 7, 8, 4, 6, 1], [1, 82, 77, 71, 72, 83, 89, 109, 93, 94, 95, 97, 1], [1, 23, 26, 27, 29, 31, 40, 37, 35, 102, 102, 53, 50, 48, 43, 1], [1, 1]];[200, 200, 190, 200, 200, 200, 200, 220, 200, 0];[0, 0, 0, 0, 0, 0, 0, 20, 0, 0];[0, 4, 0, 4, 3, 1, 0, 1, 2, 0];[77.74958395837565, 102.96168190165696, 91.18820149830344, 183.8685099906414, 192.5661409395792, 97.11257727209066, 84.95564550527813, 175.53452531921997, 104.2459954064953, 0.0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
M-n126-k7-s5.evrp;200;199.0;12.1;67130.4325490337;2171.6932030111266;1659.2608137258426;[[1, 106, 105, 104, 68, 74, 78, 125, 22, 13, 10, 8, 7, 6, 84, 114, 118, 86, 87, 112, 89, 1], [1, 120, 82, 113, 85, 119, 109, 21, 24, 27, 40, 43, 44, 41, 126, 80, 81, 79, 75, 72, 108, 107, 1], [1, 90, 19, 38, 28, 31, 34, 35, 37, 42, 39, 126, 69, 77, 76, 73, 71, 70, 121, 1], [1, 88, 110, 18, 20, 26, 32, 36, 30, 45, 47, 48, 49, 46, 126, 126, 126, 58, 55, 53, 111, 1], [1, 94, 95, 98, 116, 60, 62, 63, 59, 56, 54, 99, 117, 101, 100, 102, 103, 1], [1, 93, 92, 91, 115, 17, 23, 25, 29, 33, 50, 51, 52, 126, 66, 65, 67, 64, 61, 57, 1], [1, 83, 3, 2, 4, 5, 11, 12, 16, 15, 14, 9, 97, 96, 1]];[199, 201, 218, 198, 189, 195, 175];[0, 1, 18, 0, 0, 0, 0];[1, 1, 1, 3, 0, 1, 0];[239.71014194076486, 262.50466548834754, 308.6662638708271, 251.81221538061206, 189.41762683451753, 279.27314143634226, 127.8767587744317];[0, 0, 0, 0, 0, 0, 0]
