instancia;capacidade_carga;capacidade_energia;t_avg;fo(best);media_d;distancia(best);caminho(best);demanda_rotas(melhor);violacao_demanda(melhor);N_recargas(melhor);energia_gasta_rotas(melhor);N_violacao_energia(melhor)
E-n29-k4-s7.evrp;6000;99.0;1.8;15377.874676524141;409.1268514635304;384.4468669131035;[[1, 26, 26, 18, 21, 19, 16, 13, 1], [1, 27, 27, 7, 2, 3, 6, 8, 10, 1], [1, 15, 22, 20, 17, 1], [1, 14, 23, 23, 12, 5, 4, 9, 11, 1]];[5900, 5600, 5600, 5400];[0, 0, 0, 0];[2, 2, 0, 2];[87.28812078152187, 117.3766321444539, 76.86095731175261, 102.9211566753751];[0, 0, 0, 0]
E-n30-k3-s7.evrp;4500;162.0;1.1;22968.919326571187;603.5256941601403;569.5307949330546;[[1, 13, 12, 7, 2, 3, 4, 17, 16, 30, 15, 18, 23, 21, 20, 19, 1], [1, 22, 5, 6, 9, 25, 25, 10, 8, 1], [1, 14, 11, 1]];[3264, 2575, 4350];[0, 0, 0];[1, 2, 0];[290.48032122078865, 211.1129696068228, 67.93750410544314];[6.256250974966804, 0, 0]
